"topicName","wiki","event","resource"
"WORSER","https://www.wikidata.org/wiki/Q21196673","http://focu.io/data#COMP_474_6741_lecture5","http://focu.io/data#COMP_474_6741_lecture5_slides05"
"Query Interface","https://www.wikidata.org/wiki/Q5975453","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"PDF","https://www.wikidata.org/wiki/Q42332","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"N","https://www.wikidata.org/wiki/Q627","http://focu.io/data#COMP_474_6741_lecture5","http://focu.io/data#COMP_474_6741_lecture5_slides05"
"McGill","https://www.wikidata.org/wiki/Q201492","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_worksheet01"
"Cambridge University Press","https://www.wikidata.org/wiki/Q912887","http://focu.io/data#COMP_474_6741_lecture5","http://focu.io/data#COMP_474_6741_lecture5_slides05"
"YOUS","https://www.wikidata.org/wiki/Q1165897","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_slides07"
"LOC","https://www.wikidata.org/wiki/Q3945070","http://focu.io/data#COMP_474_6741_lecture3","http://focu.io/data#COMP_474_6741_lecture3_slides03"
"PHP","https://www.wikidata.org/wiki/Q59","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"GOOD","https://www.wikidata.org/wiki/Q5583067","http://focu.io/data#COMP_474_6741_lecture5","http://focu.io/data#COMP_474_6741_lecture5_slides05"
"CU","https://www.wikidata.org/wiki/Q239539","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_worksheet06"
"thesauri","https://www.wikidata.org/wiki/Q17152639","http://focu.io/data#COMP_474_6741_lecture3","http://focu.io/data#COMP_474_6741_lecture3_slides03"
"Concordia University","https://www.wikidata.org/wiki/Q326342","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Dublin Core","https://www.wikidata.org/wiki/Q624610","http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_slides01"
"PyTorch","https://www.wikidata.org/wiki/Q47509047","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
